issuer_identifier;issuer_name;Sector
80097231;Pacific Bell Telephone Company;Telecommunications & Media
80097232;Freeport Minerals Corporation;Energy & Resources
80097234;PepsiCo, Inc.;Consumer Goods & Retail
80097242;Rockwell Automation, Inc.;Industrial & Manufacturing
80097243;Raytheon Company;Industrial & Manufacturing
80097245;AT&T Inc.;Telecommunications & Media
80097247;Devon OEI Operating, L.L.C.;Energy & Resources
80097250;Chromalloy Corporation;Industrial & Manufacturing
80097255;RadioShack Corporation;Consumer Goods & Retail
80097256;Telephone and Data Systems, Inc.;Telecommunications & Media
80097259;Thermo Fisher Scientific Inc.;Healthcare & Pharmaceuticals
80097260;Toll Brothers, Inc.;Real Estate & Property
80097263;Andeavor;Energy & Resources
80097264;Texas Instruments Incorporated;Technology & Software
80097265;Textron Inc.;Industrial & Manufacturing
80097277;Telefonica Chile S.A.;Telecommunications & Media
80097278;CEMEX, S.A.B. de C.V.;Industrial & Manufacturing
80097286;M.D.C. Holdings, Inc.;Real Estate & Property
80097300;United States Cellular Corp.;Telecommunications & Media
80097304;Embotelladora Andina S.A.;Consumer Goods & Retail
80097305;Celulosa Arauco y Constitucion S.A.;Energy & Resources
80097310;Minera Mexico, S.A. de C.V.;Energy & Resources
80097311;Alltel Communications, Inc.;Telecommunications & Media
80097325;Grupo Elektra, S. A. B. de C. V.;Consumer Goods & Retail
80097331;Boyd Gaming Corporation;Consumer Goods & Retail
80097333;Devon Energy Corporation;Energy & Resources
80097349;Waste Management, Inc.;Waste Management, Inc.
80097360;Lennar Corporation;Real Estate & Property
80097365;Nextel Communications, Inc.;Telecommunications & Media
80097379;Darden Restaurants, Inc.;Consumer Goods & Retail
80097380;Comcast Cable Communications, LLC;Telecommunications & Media
80097384;Staples, Inc.;Consumer Goods & Retail
80097388;Pioneer Natural Resources Co.;Energy & Resources
80097391;Costco Wholesale Corporation;Consumer Goods & Retail
80097395;Allied Waste North America;Waste Management, Inc.
80097401;YUM! Brands, Inc.;Consumer Goods & Retail
80097406;Kennametal Inc.;Industrial & Manufacturing
80097409;Saks Incorporated;Consumer Goods & Retail
80097432;Convergys Corp.;Professional Services & Consulting
80097448;Windstream Georgia Communications Corp.;Telecommunications & Media
80097451;Boston Scientific Corporation;Healthcare & Pharmaceuticals
80097469;Peabody Energy Corporation;Energy & Resources
80097482;Wyeth LLC;Healthcare & Pharmaceuticals
80097485;TWDC Enterprises 18 Corp.;Telecommunications & Media
80097487;Carolina Telephone & Telegraph Co. (Embarq Corp. Unit);Telecommunications & Media
80097488;W. R. Grace & Co. - Conn.;Industrial & Manufacturing
80097490;Kirby Corporation;Transportation & Logistics
80097493;NVR, Inc.;Real Estate & Property
80097494;Newell Brands Inc.;Consumer Goods & Retail
80097495;Sunoco, Inc.;Energy & Resources
80097514;Allergan, Inc.;Healthcare & Pharmaceuticals
80097538;Beam, Inc.;Consumer Goods & Retail
80097540;The Dun & Bradstreet Corporation;Professional Services & Consulting
80097557;SUSA Partnership, L.P.;Professional Services & Consulting
80097726;Kansas City Southern de Mexico S.A. de C.V.;Transportation & Logistics
80097728;Burlington Resources LLC;Energy & Resources
80097730;BG Energy Capital plc;Energy & Resources
80097731;Kronos International Inc.;Technology & Software
80097733;M/I Homes, Inc.;Real Estate & Property
80097739;Community Health Systems, Inc.;Healthcare & Pharmaceuticals
80097742;Lumen Technologies, Inc.;Telecommunications & Media
80097756;TELUS Corp.;Telecommunications & Media
80097757;TELUS Communications, Inc.;Telecommunications & Media
80097763;Kraft Heinz Foods Company;Consumer Goods & Retail
80097765;Braskem S.A.;Industrial & Manufacturing
80097766;Dell Inc.;Technology & Software
80097767;America Movil S.A.B. de C.V.;Telecommunications & Media
80097768;ConocoPhillips;Energy & Resources
80097769;Hess Corporation;Energy & Resources
80097770;H.J. Heinz Finance Company;Financial Services
80097771;H.J. Heinz Finance UK Plc;Financial Services
80097776;D. R. Horton, Inc.;Real Estate & Property
80097781;Bunge Limited Finance Corp.;Energy & Resources
80104659;Energy Future Competitive Holdings;Energy & Resources
80104660;Transcontinental Gas Pipe Line Company, LLC;Energy & Resources
80104661;Tucson Electric Power Co.;Energy & Resources
80104662;Virginia Electric and Power Company;Energy & Resources
80104663;Washington Gas Light Company;Energy & Resources
80104664;West Penn Power Company;Energy & Resources
80104666;Western Massachusetts Electric Company;Energy & Resources
80104667;Wisconsin Electric Power Company;Energy & Resources
80104668;Southern California Edison Company;Energy & Resources
80104670;Texas Eastern Transmission, LP;Energy & Resources
80104671;Public Service Electric and Gas Company;Energy & Resources
80104673;San Diego Gas & Electric Company;Energy & Resources
80104675;Ohio Edison Company;Energy & Resources
80104676;Ohio Power Company;Energy & Resources
80104678;Panhandle Eastern Pipe Line Co.;Energy & Resources
80104679;PPL Electric Utilities Corporation;Energy & Resources
80104680;The Peoples Gas Light and Coke Company;Energy & Resources
80104681;PECO Energy Company;Energy & Resources
80104682;The Potomac Edison Company;Energy & Resources
80104683;Potomac Electric Power Company;Energy & Resources
80104684;Duke Energy Indiana, LLC;Energy & Resources
80104686;Nevada Power Company;Energy & Resources
80104687;New York State Electric & Gas Corporation;Energy & Resources
80104688;North Shore Gas Company;Energy & Resources
80104689;Northern Indiana Public Service Company;Energy & Resources
80104690;Northern States Power Company-Minnesota;Energy & Resources
80104691;Northern States Power Company-Wisconsin;Energy & Resources
80104692;DTE Gas Company;Energy & Resources
80104693;Monongahela Power Company;Energy & Resources
80104695;Spire Missouri Inc.;Energy & Resources
80104697;MDU Resources Group, Inc.;Energy & Resources
80104698;Kentucky Power Company;Energy & Resources
80104699;CenterPoint Energy Houston Electric, LLC;Energy & Resources
80104701;Indiana Michigan Power Company;Energy & Resources
80104702;Kansas Gas & Electric Co.;Energy & Resources
80104703;Kinder Morgan, Inc.;Energy & Resources
80104704;Evergy Kansas Central, Inc.;Energy & Resources
80104705;Florida Power & Light Company;Unassigned
80104706;Duke Energy Carolinas, LLC;Energy & Resources
80104708;El Paso Electric Company;Energy & Resources
80104713;Commonwealth Edison Company;Energy & Resources
80104714;The Connecticut Light and Power Company;Energy & Resources
80104715;Consolidated Edison Company of New York, Inc.;Energy & Resources
80104716;Consolidated Natural Gas Co.;Energy & Resources
80104717;Consumers Energy Company;Energy & Resources
80104718;DTE Electric Company;Energy & Resources
80104719;The Cleveland Electric Illuminating Company;Energy & Resources
80104720;Duke Energy Ohio, Inc.;Energy & Resources
80104721;NSTAR Electric Company;Energy & Resources
80104722;The Brooklyn Union Gas Company;Energy & Resources
80104723;Baltimore Gas and Electric Company;Energy & Resources
80104726;Dominion Energy, Inc.;Energy & Resources
80104727;Appalachian Power Company;Energy & Resources
80104728;Atlanta Gas Light Company;Energy & Resources
80104729;Northwest Pipeline LLC;Energy & Resources
80104730;American Electric Power Company, Inc.;Energy & Resources
80104738;CenterPoint Energy Resources Corp.;Energy & Resources
80104759;CMS Energy Corporation;Energy & Resources
80104769;Williams Companies, Inc. (The);Energy & Resources
80104770;South Jersey Gas Company;Energy & Resources
80104785;Texas Gas Transmission, LLC;Energy & Resources
80104789;AmeriGas Partners, L.P.;Energy & Resources
80104828;Energy Future Holdings Corp. (formerly TXU Corp);Energy & Resources
80104834;PPL Capital Funding Inc.;Financial Services
80104844;Eversource Energy;Energy & Resources
80104845;Public Service Company of New Hampshire;Energy & Resources
80104868;KeySpan Corp.;Energy & Resources
80104884;Northumbrian Water Limited;Energy & Resources
80104893;Telecom Argentina S.A.;Telecommunications & Media
80104897;Consolidated Edison, Inc.;Energy & Resources
80105054;Samarco Mineracao S.A. em Recuperacao Judicial;Energy & Resources
80105066;Eastern Power Networks plc;Energy & Resources
80105071;Capex S.A.;Energy & Resources
80105072;Transportadora de Gas del Sur S.A. (TGS);Energy & Resources
80105209;LATAM Airlines Group S.A.;Transportation & Logistics
80105219;National Grid Electricity Distribution (South West) Plc;Energy & Resources
80105240;Flowers Foods, Inc.;Consumer Goods & Retail
80105244;Petrobras Argentina S.A.;Energy & Resources
80105249;KUO S.A.B. de C.V.;Consumer Goods & Retail
80105250;Sigma Alimentos, S.A. de C.V.;Consumer Goods & Retail
80105258;Northern Powergrid (Northeast) plc;Energy & Resources
80105349;Southern Power Company;Energy & Resources
80105350;Talen Energy Corporation;Energy & Resources
80105351;Enel S.p.A.;Energy & Resources
80105376;Oncor Electric Delivery Company LLC;Energy & Resources
80105377;Texas Competitive Electric Holdings Company LLC;Energy & Resources
80105383;ORLEN S.A.;Energy & Resources
80105457;Verizon Communications Inc.;Telecommunications & Media
80105458;TotalEnergies SE;Energy & Resources
80105459;Eni SpA;Energy & Resources
80105630;Ecopetrol S.A.;Energy & Resources
80105695;Compania Cervecerias Unidas S.A. (CCU);Consumer Goods & Retail
80105755;Masisa S.A.;Consumer Goods & Retail
80105760;Telefonica del Peru, S.A.A.;Telecommunications & Media
80105786;Scottish Power Limited;Energy & Resources
80105996;CHS/Community Health Systems, Inc.;Healthcare & Pharmaceuticals
80106236;E.ON SE;Energy & Resources
80112309;Aptiv Corporation;Technology & Software
80330817;The AES Corporation;Energy & Resources
80330832;GenOn Americas Generation, LLC;Energy & Resources
80334506;Monsanto Company;Consumer Goods & Retail
80338525;Kohl's Corporation;Consumer Goods & Retail
80349017;Aircraft Indebtedness Repackaging Trust 1998-1;Financial Services
80349018;Aircraft Indebtedness Repackaging Trust 1998-2;Financial Services
80360832;THPA Finance Limited;Financial Services
80362395;Southern Cross Airports Corporation Pty Limited;Transportation & Logistics
80365547;B.A.T. Capital Corp. (Re - British American Tobacco);Financial Services
80365548;B.A.T International Finance p.l.c.;Financial Services
80365576;Atlas Copco AB;Industrial & Manufacturing
80365581;Euronet Worldwide, Inc.;Technology & Software
80365585;B.A.T. Netherlands Finance B.V. (Re - British American Tobacco);Financial Services
80365586;Stellantis N.V.;Industrial & Manufacturing
80365597;United Utilities PLC;Energy & Resources
80365600;Hammerson plc;Real Estate & Property
80365604;British American Tobacco plc;Consumer Goods & Retail
80365675;British Land Company PLC (The);Real Estate & Property
80365677;CRH plc;Industrial & Manufacturing
80365679;Dixons Retail plc;Industrial & Manufacturing
80365681;Compass Group PLC;Consumer Goods & Retail
80365682;Diageo plc;Consumer Goods & Retail
80365686;Kingfisher plc;Consumer Goods & Retail
80365687;Ladbrokes Coral Group plc;Consumer Goods & Retail
80365688;Land Securities PLC;Real Estate & Property
80365691;Next plc;Consumer Goods & Retail
80365697;Taylor Wimpey plc;Consumer Goods & Retail
80365698;Tesco PLC;Consumer Goods & Retail
80365700;Whitbread PLC;Consumer Goods & Retail
80365714;BAE Systems plc;Industrial & Manufacturing
80365722;Endesa, S.A.;Energy & Resources
80365733;Telefonica SA;Telecommunications & Media
80365779;Imperial Brands PLC;Consumer Goods & Retail
80365780;Casino Guichard-Perrachon SA;Consumer Goods & Retail
80365781;Carrefour SA;Consumer Goods & Retail
80365783;Renault SA;Consumer Goods & Retail
80365791;Orange S.A.;Telecommunications & Media
80365792;Vodafone Group Plc;Telecommunications & Media
80365794;Deutsche Telekom AG;Telecommunications & Media
80365813;L'Oreal USA Inc.;Consumer Goods & Retail
80365835;Aggregate Industries Holdings, Ltd.;Industrial & Manufacturing
80365837;Cableuropa S.A.;Telecommunications & Media
80365845;L'Oreal S.A.;Consumer Goods & Retail
80365851;Repsol, S.A.;Energy & Resources
80365857;Stagecoach Group plc;Transportation & Logistics
80365877;Robert Bosch Finance LLC;Financial Services
80365895;Telecom Italia S.p.A.;Telecommunications & Media
80365896;Leonardo S.p.A.;Industrial & Manufacturing
80365902;Wessex Water Services Limited;Utilities
80365932;Wessex Water Services Finance Plc;Financial Services
80365935;Dwr Cymru (Financing) UK Plc;Financial Services
80365936;Mosaic Global Holdings Inc.;Technology & Software
80365942;JSC KazTransOil;Energy & Resources
80365943;Telstra Corporation Limited;Telecommunications & Media
80365964;O2 plc;Telecommunications & Media
80365969;Anglian Water Services Financing Plc;Financial Services
80365971;Fonterra Co-operative Group Limited;Consumer Goods & Retail
80365978;Deutsche Post AG;Financial Services
80365979;PETRONAS Capital Limited;Unassigned
80365982;Telecom Corporation of New Zealand Ltd;Telecommunications & Media
80365986;AB Electrolux;Consumer Goods & Retail
80365990;Abbott Laboratories;Healthcare & Pharmaceuticals
80366003;American Airlines Group Inc.;Transportation & Logistics
80366004;American Airlines, Inc.;Transportation & Logistics
80366012;Avon Capital Corp.;Financial Services
80366033;Bristol-Myers Squibb Company;Healthcare & Pharmaceuticals
80366045;ABC Inc.;Technology & Software
80366062;The Campbell's Company;Consumer Goods & Retail
80366072;Cablevision Systems Corporation;Telecommunications & Media
80366073;Delta Air Lines, Inc.;Transportation & Logistics
80366074;EIDP, Inc.;Technology & Software
80366107;General Dynamics Corporation;Industrial & Manufacturing
80366108;General Electric Company;Industrial & Manufacturing
80366124;KBR, Inc.;Industrial & Manufacturing
80366125;Hovnanian Enterprises, Inc.;Real Estate & Property
80366126;L3Harris Technologies, Inc.;Technology & Software
80366142;Kellanova;Consumer Goods & Retail
80366188;Merck & Co., Inc.;Healthcare & Pharmaceuticals
80366221;Pitney Bowes Inc.;Technology & Software
80366223;Pfizer Inc.;Healthcare & Pharmaceuticals
80366228;PPG Industries, Inc.;Industrial & Manufacturing
80366243;Rohm and Haas Company;Industrial & Manufacturing
80366254;Sherwin-Williams Company (The);Consumer Goods & Retail
80366270;Safeway Inc.;Consumer Goods & Retail
80366278;Tennessee Gas Pipeline Company, L.L.C.;Energy & Resources
80366288;United Airlines, Inc.;Transportation & Logistics
80366296;Union Carbide Corporation;Industrial & Manufacturing
80366299;USG Corporation;Industrial & Manufacturing
80366303;RTX Corporation;Industrial & Manufacturing
80366363;Aramark Services, Inc.;Professional Services & Consulting
80366471;Dow Capital B.V.;Financial Services
80366481;Security Capital Group Inc.;Financial Services
80369735;United Utilities Water Limited;Utilities
80369736;Electricity North West Limited;Energy & Resources
80369858;Redeia Corporacion S.A.;Telecommunications & Media
80370096;Remy Cointreau S.A.;Consumer Goods & Retail
80370097;Pernod Ricard S.A.;Consumer Goods & Retail
80370114;Wurth Finance International B.V.;Financial Services
80370154;Marks and Spencer Group plc;Consumer Goods & Retail
80370176;UPM-Kymmene Oyj;Industrial & Manufacturing
80370181;GEA Group Aktiengesellschaft;Industrial & Manufacturing
80370225;Rostelecom PJSC;Transportation & Logistics
80370232;Akzo Nobel N.V.;Industrial & Manufacturing
80370234;BASF SE;Industrial & Manufacturing
80370240;Royal DSM N.V.;Industrial & Manufacturing
80370352;Abertis Infraestructuras, S.A.;Transportation & Logistics
80370381;Vestel Elektronik Sanayi Ve Ticaret A.S.;Technology & Software
80370417;WPP plc;Professional Services & Consulting
80370443;Anadolu Efes Biracilik ve Malt Sanayii A.S.;Consumer Goods & Retail
80370444;Ahold Delhaize NV;Consumer Goods & Retail
80370483;IRSA Propiedades Comerciales S.A.;Real Estate & Property
80370484;Arcor S.A.I.C.;Consumer Goods & Retail
80370487;Cablevision S.A.;Telecommunications & Media
80370501;Industrias Metalurgicas Pescarmona S.A. (IMPSA);Industrial & Manufacturing
80370503;IRSA Inversiones y Representaciones S.A.;Real Estate & Property
80370516;Tecpetrol S.A.;Energy & Resources
80370539;CAP S.A.;Energy & Resources
80370569;Alsea, S.A.B. de C.V.;Consumer Goods & Retail
80370592;Grupo Famsa SAB de CV;Consumer Goods & Retail
80370636;South Eastern Power Networks plc;Utilities
80370656;Accor SA;Consumer Goods & Retail
80370657;Obrascon Huarte Lain, S.A.;Industrial & Manufacturing
80370728;Telefonica Europe BV;Telecommunications & Media
80370759;Korea Electric Power Corporation;Energy & Resources
80370819;Bidvest Group Limited (The);Transportation & Logistics
80370831;thyssenkrupp AG;Industrial & Manufacturing
80370834;Kazakhtelecom JSC;Telecommunications & Media
80370840;AB Volvo;Industrial & Manufacturing
80370854;PT Telekomunikasi Selular;Telecommunications & Media
80370856;Lafarge SA;Industrial & Manufacturing
80370858;Compagnie de Saint-Gobain;Industrial & Manufacturing
80370863;Nestle SA;Consumer Goods & Retail
80370867;Contact Energy Ltd.;Energy & Resources
80370875;Royal Philips;Healthcare & Pharmaceuticals
80370892;Engie S.A.;Energy & Resources
80370893;Aeroports de Paris S.A. (ADP);Transportation & Logistics
80370901;Turkcell Iletisim Hizmetleri A.S;Telecommunications & Media
80370920;Robert Bosch GmbH;Industrial & Manufacturing
80371019;National Gas Transmission Plc;Energy & Resources
80371021;Yorkshire Power Finance Ltd.;Financial Services
80371042;Acea SpA;Energy & Resources
80371049;Northern Powergrid Holdings Company;Energy & Resources
80371050;Petroliam Nasional Berhad (PETRONAS);Energy & Resources
80371366;Singapore Telecommunications Limited;Telecommunications & Media
80371367;KT Corporation;Telecommunications & Media
80371382;Nippon Steel Corporation;Industrial & Manufacturing
80371390;CK Infrastructure Holdings Limited;Real Estate & Property
80371392;Hutchison Whampoa Limited;Telecommunications & Media
80371394;Kowloon-Canton Railway Corporation;Transportation & Logistics
80371395;CNOOC Limited;Energy & Resources
80371398;China Petroleum & Chemical Corporation (Sinopec);Energy & Resources
80371399;Korea Gas Corporation;Energy & Resources
80371401;Globe Telecom, Inc.;Telecommunications & Media
80371402;SK Telecom Co., Ltd;Telecommunications & Media
80371403;Telekom Malaysia Berhad;Telecommunications & Media
80371406;Singtel Optus Pty Limited;Telecommunications & Media
80371407;PT Telekomunikasi Indonesia Tbk;Telecommunications & Media
80371411;PT Indosat Tbk;Telecommunications & Media
80371425;Siemens AG;Technology & Software
80371436;Telefonaktiebolaget LM Ericsson;Technology & Software
80371437;Nokia Corporation;Technology & Software
80371451;ABB Ltd;Industrial & Manufacturing
80371456;Sistema Public Joint Stock Financial Corporation;Financial Services
80371460;AstraZeneca PLC;Healthcare & Pharmaceuticals
80371477;Origin Energy Ltd;Energy & Resources
80371480;METRO AG;Consumer Goods & Retail
