Sector,PD_Horizon,Intercept,N_observations,R_squared,GDP_Growth,Interest_Rate,Unemployment_Rate
Consumer Goods & Retail,6_month,0.21078245019066935,14170,0.0034446883476062506,-0.006216779726283916,-0.004756131620861658,-0.02564747709852165
Consumer Goods & Retail,12_month,0.14626995848465127,14170,0.0022365707469697016,-0.004474870303537311,-0.004607136278934184,-0.017323859661216048
Consumer Goods & Retail,24_month,0.0728765340076726,14170,0.001032599606729856,-0.00251319721707675,-0.004295675922586438,-0.007920099430867161
Consumer Goods & Retail,36_month,0.037685370593853865,14170,0.0008369317345465754,-0.001964606241212296,-0.004176037895332114,-0.0034454320022001255
Consumer Goods & Retail,60_month,0.006076076130451371,14170,0.001334420220733823,-0.0013803516648198638,-0.0041947034054439685,0.0005163818786263605
Real Estate & Property,1_month,0.20935765988516078,11639,0.004350566178965565,-0.022686148073975218,-0.0014638536244732017,-0.02468462480681865
Real Estate & Property,3_month,0.19807399602257908,11639,0.004271021305717215,-0.020569278677491573,-0.002296355820819806,-0.022964692283443798
Real Estate & Property,6_month,0.1679222721724328,11639,0.004415217970636376,-0.021086414013734747,-0.0024212739483398626,-0.018943349791401835
Real Estate & Property,12_month,0.12228264893131423,11639,0.0033265280754789517,-0.01725318633505638,-0.0025997117250959214,-0.013041822468215272
Real Estate & Property,24_month,0.060952509603498746,11639,0.0029303973942841344,-0.014924241222052216,-0.0029977024298679265,-0.005192684212590551
Real Estate & Property,36_month,0.032325102654909996,11639,0.0026773429231777834,-0.012633543792334917,-0.003268088563227032,-0.0016536385744867026
Real Estate & Property,60_month,0.011114281340879644,11639,0.0030313226142512084,-0.010363625814341595,-0.0036838388773761267,0.0007438270879585357
Telecommunications & Media,1_month,0.309328089672434,6486,0.003969278254293829,-0.005524662412633862,-0.0003127911193136625,-0.03908461429612825
Telecommunications & Media,3_month,0.27261472001799414,6486,0.00365233843178292,-0.004982944438494347,-0.0002192378351365201,-0.03426661842955794
Telecommunications & Media,6_month,0.229185707187183,6486,0.0030224358472983326,-0.004220320433430107,-0.00034638427171397975,-0.028598280068466767
Telecommunications & Media,12_month,0.1635199888903189,6486,0.0019503112956799074,-0.0029992254781313872,-0.0006619612209755307,-0.02002531072954819
Telecommunications & Media,24_month,0.0931217992010303,6486,0.0008490724751762935,-0.0017133217959411794,-0.00120305273213951,-0.010857360513934123
Telecommunications & Media,36_month,0.059777734502981406,6486,0.0004126416093416241,-0.0007031351915716201,-0.00162725393015422,-0.006542146774205706
Telecommunications & Media,60_month,0.029545785893222962,6486,0.00023508056876675454,-0.00036998836894535026,-0.00203839818490834,-0.002750319977901561
Financial Services,1_month,0.25335455749301883,10717,0.0034351140056841922,-0.014268394830224653,-0.0015142694550408483,-0.03258991501119844
Financial Services,3_month,0.21931833551482688,10717,0.0032703907120827935,-0.01610818992576344,-0.0017876333532835258,-0.02801777013979304
Financial Services,6_month,0.1916734812034094,10717,0.00220371860630475,-0.009754030814965694,-0.00251348843989003,-0.024397024678941618
Financial Services,12_month,0.13254066638472173,10717,0.0012818600490971388,-0.007679678080247394,-0.002921459309616681,-0.016517159269741212
Financial Services,24_month,0.0636912887710348,10717,0.0004569748716847233,-0.004595792852354379,-0.002787426136004092,-0.007491741277083693
Financial Services,36_month,0.033269889996569844,10717,0.0002033606346196759,-0.0018516812117159382,-0.0027569771994183706,-0.0035577757464029
Financial Services,60_month,0.009992626795214087,10717,0.00024882151292648924,-0.0012507384185977194,-0.002772708737345872,-0.0005354799715922611
Healthcare & Pharmaceuticals,1_month,0.1839568310792911,30888,0.0013295232283829783,-0.009314983416092245,-0.000717421059918175,-0.021841277441924375
Healthcare & Pharmaceuticals,3_month,0.15724640354828937,30888,0.0010337442917954798,-0.006342042722873449,-0.0010227166709427344,-0.018382526738470847
Healthcare & Pharmaceuticals,6_month,0.12381545534468001,30888,0.0007957543417405066,-0.005423170062986,-0.001115827252753482,-0.014124769236168552
Healthcare & Pharmaceuticals,12_month,0.06887701231404525,30888,0.00039646423718908697,-0.00420157702474683,-0.0015817684600760043,-0.0070937147496640445
Healthcare & Pharmaceuticals,24_month,0.011952586278544236,30888,0.00020286971436134227,-0.00300888305971245,-0.002009098351018052,0.0001004829364122683
Healthcare & Pharmaceuticals,36_month,-0.013135695460906979,30888,0.00034251841740906563,-0.002325862305059322,-0.0022509711516618164,0.003181560846823646
Healthcare & Pharmaceuticals,60_month,-0.029781771785081623,30888,0.0008228373761275387,-0.001546768847102575,-0.0025963467551850367,0.00508391605376823
Professional Services & Consulting,1_month,0.3024687072919983,10480,0.00565270258433026,-0.008287153062974935,0.0012641838392545785,-0.039018084551231194
Professional Services & Consulting,3_month,0.279324829950489,10480,0.0052421555365539385,-0.007454842446626498,0.0003202193272457941,-0.03581995268342032
Professional Services & Consulting,6_month,0.23629992834011743,10480,0.0042687761273648706,-0.006216980940477116,-8.090010856523847e-05,-0.030096361342238975
Professional Services & Consulting,12_month,0.16756195453144235,10480,0.0029002905979661486,-0.004733326814120751,-0.0006189632874613717,-0.021024318223366534
Professional Services & Consulting,24_month,0.09248938782404942,10480,0.001213072504843704,-0.0026997824795611724,-0.0014675434450193284,-0.011112326963283303
Professional Services & Consulting,36_month,0.05497806617063984,10480,0.0005649956599015349,-0.0017330529088461677,-0.0019830246324480955,-0.006183562416638151
Professional Services & Consulting,60_month,0.022832806097815975,10480,0.00042531835905779136,-0.0009377478560900761,-0.0026081439922705724,-0.001986636192729129
Transportation & Logistics,1_month,0.24137452163258333,6052,0.002714782085258105,-0.006925909386616872,-0.0044352050726466224,-0.0303268185712335
Transportation & Logistics,3_month,0.21410661022903765,6052,0.002596286343117038,-0.007131272681433429,-0.004671356787975246,-0.026704897375268884
Transportation & Logistics,6_month,0.1730899836639042,6052,0.00198361113650114,-0.006188462632689834,-0.004435284076917175,-0.021348189584767314
Transportation & Logistics,12_month,0.11560833863639512,6052,0.0011652384500625557,-0.004250837073923134,-0.004322802306361835,-0.013824130411402265
Transportation & Logistics,24_month,0.051282942796457995,6052,0.0005476965628051778,-0.0023859687082061717,-0.004207576109784769,-0.005428860092807529
Transportation & Logistics,36_month,0.020223764858604425,6052,0.000553126247826663,-0.0015289339957957478,-0.004137917623250488,-0.0014092344423210891
Transportation & Logistics,60_month,-0.005005967347560075,6052,0.0010666695233862988,-0.0008630080016961141,-0.004059253436238069,0.0018087023243947395
Education & Training,1_month,0.5469297113199034,227,0.019502422870217195,0.0030921605775027826,-0.02200851714487949,-0.06970987052452017
Education & Training,3_month,0.49554763241708494,227,0.01845132684157369,0.00564151146899521,-0.02022371599938022,-0.06313831162387105
Education & Training,6_month,0.4384123123559019,227,0.017067435691253907,0.006188674824798888,-0.018834722430623552,-0.0556106286921512
Education & Training,12_month,0.35133635224309717,227,0.01497450180181159,0.0076034608321261105,-0.016716587693226148,-0.0441817957988194
Education & Training,24_month,0.24773084777116378,227,0.01262506962061527,0.008830343528960727,-0.014118282601896721,-0.03063833623726677
Education & Training,36_month,0.1915716453806046,227,0.011806596251071388,0.009070105093337251,-0.01257489153299653,-0.023336773372886165
Education & Training,60_month,0.1351592147443545,227,0.011772312441142518,0.008575982389622514,-0.010745173010512345,-0.016055426362538934
Unassigned,1_month,0.006417024491574496,111,0.012598408745989276,0.011044998947054166,-0.02728307660255983,0.003023962986028363
Unassigned,3_month,-0.00936118103199078,111,0.012922861959560383,0.011291275013390195,-0.026147874017475207,0.004909844818152585
Unassigned,6_month,-0.028607797918930103,111,0.01296495867177816,0.010170863830810176,-0.02444924323055675,0.007116074307045443
Unassigned,12_month,-0.05610884782664938,111,0.01332854608773526,0.00879385893944866,-0.021734439564676612,0.010218959878341932
Unassigned,24_month,-0.08053422496108593,111,0.014057054280014358,0.006999732346668859,-0.01811704444167547,0.012764343185083018
Unassigned,36_month,-0.08610576609740593,111,0.014758952826526395,0.006032312804760652,-0.015817693568910107,0.01308016658303394
Unassigned,60_month,-0.08202581112659044,111,0.01631560641803176,0.005115739317238186,-0.013186459738905861,0.012058721195758173
